Phase,Fraction,Guess for r
0.14453125,1/7,7
0.87890625,15/17,17
0.107421875,2/19,19
0.501953125,1/2,2
0.7666015625,13/17,17
0.7548828125,3/4,4
0.984375,1/1,1
0.44921875,9/20,20
0.453125,5/11,11
0.1455078125,1/7,7
0.2626953125,5/19,19
0.318359375,6/19,19
0.6318359375,12/19,19
0.9296875,13/14,14
0.849609375,17/20,20
0.419921875,8/19,19
0.015625,0/1,1
0.236328125,4/17,17
0.73046875,11/15,15
0.7802734375,7/9,9
0.916015625,11/12,12
0.884765625,15/17,17
0.8544921875,6/7,7
0.220703125,2/9,9
0.9462890625,18/19,19
0.078125,1/13,13
0.2529296875,1/4,4
0.322265625,6/19,19
0.376953125,3/8,8
0.787109375,11/14,14
0.7529296875,3/4,4
0.927734375,13/14,14
0.935546875,15/16,16
0.068359375,1/15,15
0.60546875,3/5,5
0.6533203125,13/20,20
0.6962890625,7/10,10
0.3984375,2/5,5
0.880859375,15/17,17
0.1669921875,1/6,6
0.8359375,5/6,6
0.3681640625,7/19,19
0.2255859375,2/9,9
0.9736328125,20/21,21
0.142578125,1/7,7
0.1328125,2/15,15
0.48828125,1/2,2
0.5,1/2,2
0.4091796875,7/17,17
0.81640625,9/11,11
0.900390625,9/10,10
0.87109375,7/8,8
0.94921875,19/20,20
0.1474609375,3/20,20
0.8681640625,13/15,15
0.34375,7/20,20
0.572265625,4/7,7
0.806640625,17/21,21
0.3798828125,8/21,21
0.8759765625,7/8,8
0.2919921875,5/17,17
0.166015625,1/6,6
0.34765625,7/20,20
0.396484375,2/5,5
0.6796875,13/19,19
0.765625,13/17,17
0.150390625,3/20,20
0.0654296875,1/15,15
0.650390625,13/20,20
0.083984375,1/12,12
0.4794921875,10/21,21
0.828125,14/17,17
0.6416015625,9/14,14
0.7138671875,5/7,7
0.171875,3/17,17
0.9453125,17/18,18
0.076171875,1/13,13
0.1591796875,3/19,19
0.439453125,7/16,16
0.37890625,8/21,21
0.9482421875,18/19,19
0.7734375,10/13,13
0.177734375,3/17,17
0.9091796875,10/11,11
0.259765625,5/19,19
0.626953125,5/8,8
0.8583984375,6/7,7
0.7705078125,10/13,13
0.9951171875,1/1,1
0.18359375,2/11,11
0.9912109375,1/1,1
0.6484375,11/17,17
0.818359375,9/11,11
0.4228515625,8/19,19
0.603515625,3/5,5
0.3359375,1/3,3
0.3544921875,6/17,17
0.923828125,12/13,13
0.173828125,3/17,17
0.06640625,1/15,15
0.751953125,3/4,4
0.046875,1/21,21
0.7275390625,8/11,11
0.291015625,5/17,17
0.5322265625,8/15,15
0.6357421875,7/11,11
0.12890625,1/8,8
0.181640625,2/11,11
0.0478515625,1/21,21
0.5859375,10/17,17
0.208984375,4/19,19
0.9140625,11/12,12
0.873046875,7/8,8
0.939453125,16/17,17
0.0732421875,1/14,14
0.048828125,1/20,20
0.28125,5/18,18
0.3583984375,5/14,14
0.75390625,3/4,4
0.796875,4/5,5
0.365234375,4/11,11
0.615234375,8/13,13
0.443359375,4/9,9
0.69140625,9/13,13
0.3564453125,5/14,14
0.546875,6/11,11
0.4375,7/16,16
0.51953125,11/21,21
0.42578125,3/7,7
0.35546875,5/14,14
0.3896484375,7/18,18
0.29296875,5/17,17
0.693359375,9/13,13
0.5625,9/16,16
0.5546875,5/9,9
0.3955078125,2/5,5
0.734375,11/15,15
0.455078125,5/11,11
0.560546875,9/16,16
0.353515625,6/17,17
0.595703125,3/5,5
0.1767578125,3/17,17
0.1513671875,3/20,20
0.53515625,8/15,15
0.134765625,2/15,15
0.2978515625,3/10,10
0.779296875,7/9,9
0.4970703125,1/2,2
0.759765625,16/21,21
0.095703125,2/21,21
0.1162109375,2/17,17
0.330078125,1/3,3
0.0078125,0/1,1
0.837890625,16/19,19
0.4580078125,5/11,11
0.26953125,4/15,15
0.9619140625,20/21,21
0.7216796875,13/18,18
0.8017578125,4/5,5
0.9326171875,14/15,15
0.8291015625,5/6,6
0.7197265625,13/18,18
0.375,3/8,8
0.345703125,7/20,20
0.4560546875,5/11,11
0.3173828125,6/19,19
0.1015625,1/10,10
0.0048828125,0/1,1
0.361328125,4/11,11
0.9404296875,16/17,17
0.4033203125,2/5,5
0.32421875,6/19,19
0.740234375,14/19,19
0.544921875,6/11,11
0.8876953125,8/9,9
0.5888671875,10/17,17
0.6142578125,8/13,13
0.6884765625,11/16,16
0.3701171875,7/19,19
0.279296875,5/18,18
0.951171875,19/20,20
0.2724609375,3/11,11
0.130859375,2/15,15
0.90234375,9/10,10
0.5498046875,11/20,20
0.736328125,14/19,19
0.716796875,5/7,7
0.3671875,7/19,19
0.9130859375,11/12,12
0.3154296875,6/19,19
0.2236328125,2/9,9
0.185546875,3/16,16
0.392578125,7/18,18
0.5341796875,8/15,15
0.3779296875,3/8,8
0.7431640625,14/19,19
0.3349609375,1/3,3
0.3291015625,1/3,3
0.4716796875,8/17,17
0.009765625,0/1,1
0.7109375,5/7,7
0.1044921875,2/19,19
0.4462890625,4/9,9
0.435546875,7/16,16
0.3876953125,7/18,18
0.6259765625,5/8,8
0.515625,11/21,21
0.9287109375,13/14,14
0.794921875,4/5,5
0.890625,8/9,9
0.3759765625,3/8,8
0.705078125,12/17,17
0.31640625,6/19,19
0.12109375,2/17,17
0.1279296875,1/8,8
0.541015625,7/13,13
0.125,1/8,8
0.1611328125,3/19,19
0.8857421875,8/9,9
0.2021484375,1/5,5
0.126953125,1/8,8
0.9365234375,15/16,16
0.9765625,1/1,1
0.8779296875,7/8,8
0.7080078125,12/17,17
0.3837890625,5/13,13
0.576171875,11/19,19
0.44140625,4/9,9
0.4423828125,4/9,9
0.224609375,2/9,9
0.2568359375,5/19,19
0.3623046875,4/11,11
0.4072265625,7/17,17
0.4814453125,10/21,21
0.9375,15/16,16
0.5771484375,11/19,19
0.052734375,1/19,19
0.1123046875,1/9,9
0.423828125,8/19,19
0.2314453125,3/13,13
0.88671875,8/9,9
0.3916015625,7/18,18
0.373046875,3/8,8
0.0625,1/16,16
0.7333984375,11/15,15
0.4501953125,9/20,20
0.4873046875,10/21,21
0.484375,10/21,21
0.21484375,3/14,14
0.767578125,10/13,13
0.6123046875,11/18,18
0.2177734375,3/14,14
0.0224609375,0/1,1
0.814453125,13/16,16
0.8193359375,9/11,11
0.6943359375,9/13,13
0.38671875,5/13,13
0.3125,5/16,16
0.0185546875,0/1,1
0.4765625,10/21,21
0.158203125,3/19,19
0.7763671875,7/9,9
0.4150390625,5/12,12
0.275390625,5/18,18
0.66015625,2/3,3
0.369140625,7/19,19
0.2841796875,2/7,7
0.533203125,8/15,15
0.74609375,3/4,4
0.431640625,3/7,7
0.0029296875,0/1,1
0.8662109375,13/15,15
0.1953125,1/5,5
0.98046875,1/1,1
0.2998046875,3/10,10
0.349609375,7/20,20
0.822265625,14/17,17
0.4697265625,8/17,17
0.240234375,5/21,21
0.6015625,3/5,5
0.201171875,1/5,5
0.2001953125,1/5,5
0.630859375,12/19,19
0.0849609375,1/12,12
0.2890625,2/7,7
0.3203125,6/19,19
0.6923828125,9/13,13
0.4267578125,3/7,7
0.138671875,1/7,7
0.59765625,3/5,5
0.6181640625,13/21,21
0.611328125,11/18,18
0.921875,12/13,13
0.775390625,7/9,9
0.1171875,2/17,17
0.232421875,3/13,13
0.4443359375,4/9,9
0.1064453125,2/19,19
0.85546875,6/7,7
0.1728515625,3/17,17
0.64453125,9/14,14
0.2216796875,2/9,9
0.1708984375,1/6,6
0.5107421875,1/2,2
0.3251953125,1/3,3
0.0498046875,1/20,20
0.56640625,9/16,16
0.1552734375,2/13,13
0.30859375,4/13,13
0.23828125,5/21,21
0.91796875,11/12,12
0.6650390625,2/3,3
0.6474609375,11/17,17
0.1748046875,3/17,17
0.6005859375,3/5,5
0.5029296875,1/2,2
0.7255859375,8/11,11
0.9111328125,10/11,11
0.8388671875,16/19,19
0.3369140625,1/3,3
0.2333984375,4/17,17
0.67578125,13/19,19
0.1494140625,3/20,20
0.216796875,3/14,14
0.205078125,1/5,5
0.91015625,10/11,11
0.146484375,3/20,20
0.7421875,14/19,19
0.2763671875,5/18,18
0.169921875,1/6,6
0.2685546875,4/15,15
0.505859375,1/2,2
0.6572265625,13/20,20
0.0869140625,1/12,12
0.5224609375,11/21,21
0.90625,19/21,21
0.5654296875,9/16,16
0.7373046875,14/19,19
0.7294921875,8/11,11
0.83203125,5/6,6
