Phase,Fraction,Guess for r
0.5,1/2,2
0.8349609375,5/6,6
0.8330078125,5/6,6
0.0,0/1,1
0.6669921875,2/3,3
0.1669921875,1/6,6
0.6650390625,2/3,3
0.3330078125,1/3,3
0.16796875,1/6,6
0.6689453125,2/3,3
0.66796875,2/3,3
0.166015625,1/6,6
0.8359375,5/6,6
0.333984375,1/3,3
0.666015625,2/3,3
0.833984375,5/6,6
0.33203125,1/3,3
0.1650390625,1/6,6
0.83203125,5/6,6
0.8291015625,5/6,6
0.8369140625,5/6,6
0.15625,3/19,19
0.8388671875,16/19,19
0.3369140625,1/3,3
0.169921875,1/6,6
0.1689453125,1/6,6
0.318359375,6/19,19
0.3447265625,7/20,20
0.619140625,13/21,21
0.671875,2/3,3
0.1533203125,2/13,13
0.3349609375,1/3,3
0.8310546875,5/6,6
0.3359375,1/3,3
0.330078125,1/3,3
0.837890625,16/19,19
0.828125,14/17,17
0.71875,13/18,18
0.8212890625,14/17,17
0.662109375,2/3,3
0.154296875,2/13,13
0.3623046875,4/11,11
0.669921875,2/3,3
0.1630859375,1/6,6
0.1640625,1/6,6
0.6767578125,13/19,19
0.3310546875,1/3,3
0.3291015625,1/3,3
0.673828125,2/3,3
0.177734375,3/17,17
0.20703125,4/19,19
0.8447265625,11/13,13
0.8271484375,14/17,17
0.16015625,3/19,19
0.3388671875,1/3,3
0.6640625,2/3,3
