Phase,Fraction,Guess for r
0.3330078125,1/3,3
0.0,0/1,1
0.5,1/2,2
0.1669921875,1/6,6
0.6669921875,2/3,3
0.8330078125,5/6,6
0.333984375,1/3,3
0.66015625,2/3,3
0.6650390625,2/3,3
0.833984375,5/6,6
0.3349609375,1/3,3
0.8359375,5/6,6
0.8408203125,16/19,19
0.83203125,5/6,6
0.33203125,1/3,3
0.166015625,1/6,6
0.162109375,3/19,19
0.1611328125,3/19,19
0.8310546875,5/6,6
0.322265625,6/19,19
0.1689453125,1/6,6
0.1640625,1/6,6
0.6630859375,2/3,3
0.3310546875,1/3,3
0.8203125,9/11,11
0.666015625,2/3,3
0.16796875,1/6,6
0.8349609375,5/6,6
0.3359375,1/3,3
0.837890625,16/19,19
0.330078125,1/3,3
0.66796875,2/3,3
0.1708984375,1/6,6
0.6884765625,11/16,16
0.8251953125,14/17,17
0.6689453125,2/3,3
0.6611328125,2/3,3
0.1650390625,1/6,6
0.3291015625,1/3,3
0.8427734375,16/19,19
0.6923828125,9/13,13
0.328125,1/3,3
0.169921875,1/6,6
0.3466796875,7/20,20
0.671875,2/3,3
0.673828125,2/3,3
0.1630859375,1/6,6
0.1806640625,2/11,11
0.337890625,1/3,3
0.171875,3/17,17
0.8369140625,5/6,6
0.8291015625,5/6,6
