Phase,Fraction,Guess for r
0.1669921875,1/6,6
0.6669921875,2/3,3
0.333984375,1/3,3
0.8330078125,5/6,6
0.3330078125,1/3,3
0.5,1/2,2
0.0,0/1,1
0.3349609375,1/3,3
0.33203125,1/3,3
0.666015625,2/3,3
0.16796875,1/6,6
0.166015625,1/6,6
0.83203125,5/6,6
0.6640625,2/3,3
0.8349609375,5/6,6
0.833984375,5/6,6
0.1640625,1/6,6
0.8310546875,5/6,6
0.859375,6/7,7
0.328125,1/3,3
0.6689453125,2/3,3
0.1650390625,1/6,6
0.330078125,1/3,3
0.337890625,1/3,3
0.646484375,11/17,17
0.66796875,2/3,3
0.1689453125,1/6,6
0.65234375,13/20,20
0.8359375,5/6,6
0.3359375,1/3,3
0.8291015625,5/6,6
0.6650390625,2/3,3
0.1591796875,3/19,19
0.3388671875,1/3,3
0.6416015625,9/14,14
0.6552734375,13/20,20
0.169921875,1/6,6
0.3310546875,1/3,3
0.326171875,1/3,3
0.8271484375,14/17,17
0.162109375,3/19,19
0.83984375,16/19,19
0.853515625,17/20,20
0.662109375,2/3,3
0.3134765625,5/16,16
0.66015625,2/3,3
0.7998046875,4/5,5
0.8017578125,4/5,5
0.1416015625,1/7,7
0.6708984375,2/3,3
0.3408203125,1/3,3
0.8369140625,5/6,6
0.1611328125,3/19,19
0.6728515625,2/3,3
