Phase,Fraction,Guess for r
0.666015625,2/3,3
0.833984375,5/6,6
0.6669921875,2/3,3
0.3330078125,1/3,3
0.0,0/1,1
0.5,1/2,2
0.333984375,1/3,3
0.8330078125,5/6,6
0.1669921875,1/6,6
0.166015625,1/6,6
0.671875,2/3,3
0.8349609375,5/6,6
0.6640625,2/3,3
0.171875,3/17,17
0.646484375,11/17,17
0.8251953125,14/17,17
0.1923828125,4/21,21
0.1689453125,1/6,6
0.669921875,2/3,3
0.3369140625,1/3,3
0.16796875,1/6,6
0.83203125,5/6,6
0.66796875,2/3,3
0.8291015625,5/6,6
0.169921875,1/6,6
0.33203125,1/3,3
0.8310546875,5/6,6
0.6650390625,2/3,3
0.1904296875,4/21,21
0.6748046875,2/3,3
0.330078125,1/3,3
0.1650390625,1/6,6
0.826171875,14/17,17
0.828125,14/17,17
0.6689453125,2/3,3
0.34765625,7/20,20
0.6630859375,2/3,3
0.7939453125,15/19,19
0.318359375,6/19,19
0.837890625,16/19,19
0.6728515625,2/3,3
0.861328125,6/7,7
0.3310546875,1/3,3
0.1640625,1/6,6
0.32421875,6/19,19
0.8359375,5/6,6
0.1630859375,1/6,6
0.9453125,17/18,18
0.3291015625,1/3,3
0.8388671875,16/19,19
0.8369140625,5/6,6
0.3505859375,7/20,20
0.830078125,5/6,6
0.15234375,2/13,13
0.6708984375,2/3,3
0.6806640625,13/19,19
0.3359375,1/3,3
0.1708984375,1/6,6
0.3046875,4/13,13
